id_athlete,last_name,first_name,id_team,team_name
203937.0,GRAF,Bernadette,12037,Austria
203993.0,AKHMATKHUZIN,Artur,10783,Russia
204023.0,GU,Bon-Gil,15947,Republic of Korea
204101.0,PINOT,Margaux,11142,France
204734.0,JEZEK,Jaromir,9857,Czech Republic
204974.0,HAASE,Robin,11808,Netherlands
205057.0,PRANZ,Rene,11150,Austria
205151.0,TRAZHUKOVA,Inna,14603,Russia
205163.0,SIPAL,Onur,12437,Türkiye
205243.0,OATES,Colin,10201,Great Britain
205471.0,WIEBE,Erica,10824,Canada
205734.0,MOUSTAFA,Enass,10246,Egypt
205870.0,PERRIN,Ignacio,10120,Argentina
205873.0,GASIMOV,Elmar,8769,Azerbaijan
205969.0,MA,Long,10806,China
206036.0,EL-DAWLATLY,Nadeen,15972,Egypt
206053.0,CHARDY,Jérémy,10472,France
206091.0,MONTAÑO ARROYO,Andres Roberto,10821,Ecuador
206453.0,BARTHEL,Mona,10473,Germany
206786.0,ILYASOV,Talgat,9843,Australia
206857.0,KÜLBS,Jasmin,9851,Germany
206946.0,BESBES,Azza,14611,Tunisia
206984.0,NIYAZYMBETOV,Adilbek,10218,Kazakhstan
207012.0,TANGRIEV,Abdullo,14612,Uzbekistan
207023.0,MAJIDOV,Magomedrasul,11967,Azerbaijan
207310.0,KUKUSHKIN,Mikhail,10486,Kazakhstan
207641.0,TAZEGÜL,Servet,11133,Türkiye
207836.0,NUNES,Rochele,15979,Portugal
207928.0,OTGONBAATAR,Uuganbaatar,12416,Mongolia
208023.0,MNATSAKANYAN,Garnik,15962,Armenia
208394.0,LOPEZ,Arlen,10257,Cuba
208632.0,POLCANOVA,Sofia,11933,Austria
208825.0,OKWIRI,Rayton,11174,Kenya
208841.0,LEE,Chong Wei,10208,Malaysia
209219.0,OTA,Yuki,8811,Japan
209259.0,PEREZ MAURICE,Maria,9859,Argentina
209460.0,POLLING,Kim,10221,Italy
209460.0,POLLING,Kim,8805,Netherlands
209470.0,DZEYNICHENKO,Timofej,15357,Belarus
209503.0,JABALLAH,Faycal,12018,Tunisia
209507.0,THAPA,Shiva,15995,India
209566.0,HU,Yun,11132,"Hong Kong, China"
